"league","season","team","player","league_id","season_id","team_id","player_id","position_raw","matches","minutes","goals","xg","np_goals","np_xg","assists","xa","shots","key_passes","yellow_cards","red_cards","xgchain","xgbuildup","nation","position_group","npg","xg_plus_xa","npg_plus_xa","xg_per90","xa_per90","xgchain_per90","xgbuildup_per90","npg_per90","goals_per90","shots_per90","key_passes_per90","assists_per90","sb_minutes","sb_goals","sb_xg","sb_np_xg","sb_shots","sb_np_shots","sb_assists","sb_xa","sb_key_passes","sb_progressive_passes","sb_progressive_carries","sb_competitions","sb_nation"
"ENG-Premier League",2122,"Arsenal","Takehiro Tomiyasu",1,2021,83,7931,"D S",21,1688,0,0.387238000519574,0,0.387238000519574,1,0.999205684289336,11,12,2,0,8.34069722890854,7.47922095656395,"Japan","D S",NA,1.38644368480891,0.999205684289336,0.0206465758570862,0.0532751845888864,0.444705420972612,0.398773629200684,NA,0,0.586492890995261,0.639810426540284,0.0533175355450237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Thomas Partey",1,2021,83,2328,"M S",24,2045,2,3.02272046823055,2,3.02272046823055,1,0.867959497496486,44,16,6,0,9.63908180221915,8.36663636565208,"Ghana","M S",NA,3.89067996572703,0.867959497496486,0.133029262660513,0.0381987064912878,0.42421386904632,0.368213825383221,NA,0.0880195599022004,1.93643031784841,0.704156479217604,0.0440097799511002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Ashley Young",1,2021,71,631,"D F M S",24,1232,0,0.403742606751621,0,0.403742606751621,2,0.778312532231212,10,13,2,0,3.39308964088559,2.47904341667891,"England","D F M S",NA,1.18205513898283,0.778312532231212,0.0294941839347774,0.0568572466727346,0.247871808181577,0.181098950893751,NA,0,0.730519480519481,0.949675324675325,0.146103896103896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Axel Tuanzebe",1,2021,71,934,"D S",9,507,0,0.154868099838495,0,0.154868099838495,0,0,2,0,1,0,0.8887580037117,0.8887580037117,"DR Congo","D S",NA,0.154868099838495,0,0.0274913786695553,0,0.157767692966574,0.157767692966574,NA,0,0.355029585798816,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Cameron Archer",1,2021,71,9912,"S",3,20,0,0.0282422993332147,0,0.0282422993332147,0,0,1,0,0,0,0.0597288012504577,0.0314865000545978,"England","S",NA,0.0282422993332147,0,0.127090346999466,0,0.26877960562706,0.14168925024569,NA,0,4.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Danny Ings",1,2021,71,986,"F S",30,1920,7,6.8466619066894,6,6.08549289032817,6,1.44446850940585,49,15,4,0,7.99943253584206,2.10899313353002,"England","F S",NA,8.29113041609526,1.44446850940585,0.320937276876066,0.0677094613783992,0.374973400117597,0.0988590531342197,NA,0.328125,2.296875,0.703125,0.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Douglas Luiz",1,2021,71,6122,"M S",34,2733,2,2.22037157416344,2,2.22037157416344,3,2.44307017326355,23,36,7,0,10.2346833180636,8.43749651499093,"Brazil","M S",NA,4.66344174742699,2.44307017326355,0.0731187126508266,0.0804523657496229,0.337036772274323,0.277853891821875,NA,0.0658616904500548,0.757409440175631,1.18551042810099,0.0987925356750823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Emiliano Buendía",1,2021,71,2203,"F M S",35,1907,4,3.05392911937088,4,3.05392911937088,6,4.6530051138252,44,47,1,0,10.5735660232604,5.31829625554383,"Argentina","F M S",NA,7.70693423319608,4.6530051138252,0.144128799550802,0.219596465780948,0.499014652382502,0.2509945794436,NA,0.188778185631883,2.07656004195071,2.21814368117462,0.283167278447824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Emiliano Martinez",1,2021,71,4401,"GK",36,3240,0,0,0,0,0,0,0,0,4,0,2.47988122049719,2.47988122049719,"Argentina","GK",NA,0,0,0,0,0.0688855894582553,0.0688855894582553,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Ezri Konsa Ngoyo",1,2021,71,7726,"D",29,2494,2,1.20690205786377,2,1.20690205786377,0,0.270699905231595,14,4,4,2,4.54279619269073,4.29160429909825,"England","DEF",NA,1.47760196309537,0.270699905231595,0.0435530012861826,0.0097686413275234,0.163934104788358,0.154869441426962,NA,0.0721732157177225,0.505212510024058,0.144346431435445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Jacob Ramsey",1,2021,71,8941,"F M S",34,2493,6,3.8228819873184,6,3.8228819873184,1,2.03696048073471,34,21,6,0,11.2466431111097,6.33387201838195,"England","F M S",NA,5.8598424680531,2.03696048073471,0.138010180047595,0.0735364794489063,0.406015996790965,0.228659639652778,NA,0.216606498194946,1.22743682310469,0.75812274368231,0.0361010830324909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","John McGinn",1,2021,71,7723,"M",35,3099,3,1.82807233091444,3,1.82807233091444,4,5.35924413055182,43,53,8,0,12.8403607802466,8.2026943853125,"Scotland","MID",NA,7.18731646146625,5.35924413055182,0.0530901935405935,0.15564116545649,0.372904959736105,0.238219585246249,NA,0.0871248789932236,1.24878993223621,1.53920619554695,0.116166505324298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Lucas Digne",1,2021,71,1823,"D",29,2446,0,0.861211804673076,0,0.861211804673076,4,3.51978581305593,18,52,6,0,7.27108007669449,5.30521692242473,"France","DEF",NA,4.38099761772901,3.51978581305593,0.0316880876617239,0.129509698763301,0.267537697016559,0.195204220367222,NA,0,0.662305805396566,1.91332788225675,0.147179067865904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Matt Targett",1,2021,71,884,"D M",33,2880,1,1.01510079018772,1,1.01510079018772,1,3.86380013916641,13,41,3,0,7.15102942939848,3.8940837085247,"England","D M",NA,4.87890092935413,3.86380013916641,0.0317218996933661,0.12074375434895,0.223469669668702,0.121690115891397,NA,0.03125,0.40625,1.28125,0.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Morgan Sanson",1,2021,71,3696,"M S",10,349,0,0.0118105998262763,0,0.0118105998262763,0,0.0282062999904155,1,1,0,0,0.844300611875951,0.832490012049675,"France","M S",NA,0.0400168998166918,0.0282062999904155,0.0030457134222489,0.0072738309430871,0.217727951486635,0.214682238064386,NA,0,0.257879656160458,0.257879656160458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Ollie Watkins",1,2021,71,8865,"F S",35,2970,11,11.4981606043875,10,10.7369886375964,2,2.99761013314128,77,35,7,0,17.1485110390931,5.53889289591461,"England","F S",NA,14.4957707375288,2.99761013314128,0.348429109223864,0.0908366707012508,0.519651849669489,0.16784523927014,NA,0.333333333333333,2.33333333333333,1.06060606060606,0.0606060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Philippe Coutinho",1,2021,71,488,"F M S",19,1364,5,3.36697199009359,5,3.36697199009359,3,2.93284718412906,43,25,0,0,8.86881029978395,4.49714886862785,"Spain","F M S",NA,6.29981917422265,2.93284718412906,0.22216090843726,0.193516309803237,0.58518543033765,0.296732696610342,NA,0.32991202346041,2.83724340175953,1.64956011730205,0.197947214076246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Tim Iroegbunam",1,2021,71,9554,"M S",3,91,0,0.100661002099514,0,0.100661002099514,0,0,1,0,1,0,0.102368399500847,0.102368399500847,"England","M S",NA,0.100661002099514,0,0.0995548372412775,0,0.101243472033805,0.101243472033805,NA,0,0.989010989010989,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Tyrone Mings",1,2021,71,1024,"D S",36,3186,1,1.3756200876087,1,1.3756200876087,3,1.42865037545562,21,10,11,0,8.23411284200847,7.53468828089535,"England","D S",NA,2.80427046306431,1.42865037545562,0.0388593245087202,0.0403573552388592,0.232602057683855,0.212844301720208,NA,0.0282485875706214,0.593220338983051,0.282485875706215,0.0847457627118644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Aston Villa","Wesley",1,2021,71,7724,"S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Brazil","S",NA,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Brentford","Bryan Mbeumo",1,2021,244,6552,"F M S",35,2934,4,9.80525948293507,3,9.04409045912325,7,3.9572208058089,77,34,4,0,17.7869242578745,6.47867470234632,"France","F M S",NA,13.762480288744,3.9572208058089,0.30077483076488,0.121387141282482,0.545611173554432,0.198732352832709,NA,0.122699386503067,2.36196319018405,1.04294478527607,0.214723926380368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
