"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-09-23,"19:00","Qatar",0,"Canada",2,NA,"Generali Arena (Neutral Site)","Manuel Schüttengruber","","https://fbref.com/en/matches/3f1c3c83/Qatar-Canada-September-23-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-09-23,"19:30","Iran",1,"Uruguay",0,NA,"NV Arena (Neutral Site)","Walter Altmann","","https://fbref.com/en/matches/0542214a/IR-Iran-Uruguay-September-23-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-09-23,"20:00","Saudi Arabia",0,"Ecuador",0,NA,"Estadio Enrique Roca de Murcia (Neutral Site)","Ivan Bebek","","https://fbref.com/en/matches/6f61851c/Saudi-Arabia-Ecuador-September-23-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-09-23,"20:30","Brazil",3,"Ghana",0,NA,"Stade Océane (Neutral Site)","Mikael Lesage","","https://fbref.com/en/matches/756dc6e1/Brazil-Ghana-September-23-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sun",2022-09-25,"16:00","New Zealand",0,"Australia",2,34985,"Eden Park (Neutral Site)","Yūsuke Araki","","https://fbref.com/en/matches/6735a30a/New-Zealand-Australia-September-25-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"13:55","Japan",0,"Ecuador",0,4321,"Merkur Spielarena (Neutral Site)","Sascha Stegemann","","https://fbref.com/en/matches/f4513452/Japan-Ecuador-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"15:30","Brazil",5,"Tunisia",1,NA,"Parc des Princes (Neutral Site)","Ruddy Buquet","","https://fbref.com/en/matches/963b2d1a/Brazil-Tunisia-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"16:30","Iran",1,"Senegal",1,NA,"motion_invest Arena (Neutral Site)","Harald Lechner","","https://fbref.com/en/matches/67e4474e/IR-Iran-Senegal-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"18:00","Canada",0,"Uruguay",2,NA,"Štadión Tehelné pole (Neutral Site)","Peter Kráľovič","","https://fbref.com/en/matches/b90aca49/Canada-Uruguay-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"19:00","Mexico",2,"Colombia",3,67311,"Levi's Stadium (Neutral Site)","Nima Saghafi","","https://fbref.com/en/matches/d5bcb154/Mexico-Colombia-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"20:00","Saudi Arabia",0,"United States",0,364,"Estadio Enrique Roca de Murcia (Neutral Site)","Ivan Bebek","","https://fbref.com/en/matches/56bde19a/Saudi-Arabia-United-States-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Tue",2022-09-27,"21:00","Morocco",0,"Paraguay",0,NA,"Estadio Benito Villamarín (Neutral Site)","Jesús Gil","","https://fbref.com/en/matches/0c38ebe9/Morocco-Paraguay-September-27-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-11-09,"21:00","Mexico",4,"Iraq",0,NA,"Estadi Municipal de Montilivi (Neutral Site)","Guillermo Cuadra","","https://fbref.com/en/matches/265007e8/Mexico-Iraq-November-9-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-11-10,"16:00","Saudi Arabia",1,"Panama",1,NA,"Al Nahyan Stadium (Neutral Site)","Yahya Ali Al Mulla","","https://fbref.com/en/matches/f7b38ce5/Saudi-Arabia-Panama-November-10-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sat",2022-11-12,"18:30","Ecuador",0,"Iraq",0,NA,"Estadio Cívitas Metropolitano (Neutral Site)","Gustavo Correia","","https://fbref.com/en/matches/bb8b2529/Ecuador-Iraq-November-12-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-11-16,"15:00","Saudi Arabia",0,"Croatia",1,8287,"Prince Faisal bin Fahd Stadium (Neutral Site)","Adham Makhadmeh","","https://fbref.com/en/matches/8e701a35/Saudi-Arabia-Croatia-November-16-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-11-16,"20:00","Turkey",2,"Scotland",1,NA,"Diyarbakır Yeni Stadyumu (Neutral Site)","Visar Kastrati","","https://fbref.com/en/matches/e1c97481/Turkiye-Scotland-November-16-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Wed",2022-11-16,"20:30","Mexico",1,"Sweden",2,NA,"Estadi Municipal de Montilivi (Neutral Site)","César Soto","","https://fbref.com/en/matches/48370637/Mexico-Sweden-November-16-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-11-17,"14:00","Ghana",2,"Switzerland",0,NA,"Sheikh Zayed Sports City (Neutral Site)","Ahmed Eisa Mohamed","","https://fbref.com/en/matches/122522a1/Ghana-Switzerland-November-17-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Thu",2022-11-17,"22:40","Japan",1,"Canada",2,2971,"Al Maktoum Stadium (Neutral Site)","Omar Mohamed Al Ali","","https://fbref.com/en/matches/392beca6/Japan-Canada-November-17-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Fri",2022-11-18,"18:00","Egypt",2,"Belgium",1,NA,"Jaber Al-Ahmad International Stadium (Neutral Site)","Ali Mahmoud","","https://fbref.com/en/matches/0e00c872/Egypt-Belgium-November-18-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sat",2022-11-19,"20:00","Turkey",2,"Czech Republic",1,NA,"Kalyon Arena (Neutral Site)","William Collum","","https://fbref.com/en/matches/1c4fed81/Turkiye-Czech-Republic-November-19-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sat",2022-11-19,"20:00","Colombia",2,"Paraguay",0,NA,"DRV PNK Stadium (Neutral Site)","Rubiel Vazquez","","https://fbref.com/en/matches/cafa65c5/Colombia-Paraguay-November-19-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2022,NA,NA,"Sat",2022-11-19,"20:30","Sweden",2,"Algeria",0,NA,"Eleda Stadion (Neutral Site)","Espen Andreas Eskås","","https://fbref.com/en/matches/7d4af900/Sweden-Algeria-November-19-2022-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-01-28,"16:30","United States",0,"Colombia",0,27000,"Dignity Health Sports Park","Said Martínez","","https://fbref.com/en/matches/3f6bd619/United-States-Colombia-January-28-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Thu",2023-03-23,"20:30","Argentina",2,"Panama",0,83214,"Estadio Mâs Monumental","Christian Ferreyra","","https://fbref.com/en/matches/530b12ba/Argentina-Panama-March-23-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-03-24,"19:30","Japan",1,"Uruguay",1,61855,"Japan National Stadium","Ko Hyungjin","","https://fbref.com/en/matches/e7dd2c0e/Japan-Uruguay-March-24-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-03-24,"20:00","Australia",3,"Ecuador",1,20668,"CommBank Stadium","Kim Daeyong","","https://fbref.com/en/matches/046bca9c/Australia-Ecuador-March-24-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-03-24,"20:00","Korea Republic",2,"Colombia",2,35727,"Munsu Cup Stadium","Jumpei Iida","","https://fbref.com/en/matches/fc5209bc/Korea-Republic-Colombia-March-24-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-03-25,"22:00","Morocco",2,"Brazil",1,65000,"Stade Ibn Batouta","Sadek Selmi","","https://fbref.com/en/matches/b9e2f869/Morocco-Brazil-March-25-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-03-28,"19:20","Japan",1,"Colombia",2,20005,"Yodoko Sakura Stadium","Taqi Aljaafari","","https://fbref.com/en/matches/bb3cac85/Japan-Colombia-March-28-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-03-28,"19:30","Australia",1,"Ecuador",2,27103,"Marvel Stadium","Chae Sanghyeop","","https://fbref.com/en/matches/034967a5/Australia-Ecuador-March-28-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-03-28,"20:00","Korea Republic",1,"Uruguay",2,63952,"Seoul World Cup Stadium","Yūsuke Araki","","https://fbref.com/en/matches/111100a5/Korea-Republic-Uruguay-March-28-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-03-28,"20:30","Argentina",7,"Curaçao",0,43000,"Estadio Único Madre de Ciudades","Gustavo Tejera","","https://fbref.com/en/matches/7942ef6e/Argentina-Curacao-March-28-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-03-28,"20:45","Germany",2,"Belgium",3,42910,"RheinEnergieSTADION","Willy Delajod","","https://fbref.com/en/matches/f8d00054/Germany-Belgium-March-28-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Wed",2023-04-19,"19:00","United States",1,"Mexico",1,55730,"State Farm Stadium","Bryan López","","https://fbref.com/en/matches/5704d9a4/United-States-Mexico-April-19-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Mon",2023-06-12,"20:00","Morocco",0,"Cape Verde",0,52000,"Stade Prince Moulay Abdallah","Mahamadou Keita","","https://fbref.com/en/matches/092cd935/Morocco-Cape-Verde-June-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Thu",2023-06-15,"09:00","Argentina",2,"Australia",0,51385,"Workers' Stadium (Neutral Site)","Ma Ning","","https://fbref.com/en/matches/54d4c66e/Argentina-Australia-June-15-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-06-16,"14:00","Colombia",1,"Iraq",0,14000,"Estadio de Mestalla (Neutral Site)","Miguel Nogueira","","https://fbref.com/en/matches/4942bfd2/Colombia-Iraq-June-16-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-06-16,"19:00","Sweden",4,"New Zealand",1,20528,"Friends Arena","Craig Pawson","","https://fbref.com/en/matches/d8a8bb19/Sweden-New-Zealand-June-16-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Mon",2023-06-19,"19:00","Qatar",0,"New Zealand",1,NA,"Sonnenseestadion (Neutral Site)","Manuel Schüttengruber","Match Suspended","https://fbref.com/en/matches/de930c82/Qatar-New-Zealand-June-19-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-06-20,"20:00","Brazil",2,"Senegal",4,35000,"Estádio José Alvalade (Neutral Site)","Gustavo Correia","","https://fbref.com/en/matches/9e972c43/Brazil-Senegal-June-20-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-06-20,"20:00","Algeria",1,"Tunisia",1,NA,"Stade du 19 Mai 1956","Abdel Aziz Mohamed Bouh","","https://fbref.com/en/matches/ddaa8b37/Algeria-Tunisia-June-20-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-06-20,"20:45","Germany",0,"Colombia",2,50421,"Veltins-Arena","Halil Umut Meler","","https://fbref.com/en/matches/19327273/Germany-Colombia-June-20-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Thu",2023-09-07,"19:00","Norway",6,"Jordan",0,10532,"Ullevaal Stadion","Kristoffer Karlsson","","https://fbref.com/en/matches/29f3e91c/Norway-Jordan-September-7-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-09-09,"16:30","United States",3,"Uzbekistan",0,15569,"Citypark","Nelson Salgado","","https://fbref.com/en/matches/66385fb9/United-States-Uzbekistan-September-9-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-09-09,"20:45","Germany",1,"Japan",4,24980,"AOK Stadion","João Pinheiro","","https://fbref.com/en/matches/cfc6f12b/Germany-Japan-September-9-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-09-09,"21:00","Mexico",2,"Australia",2,52787,"AT&T Stadium (Neutral Site)","Rubiel Vazquez","","https://fbref.com/en/matches/812127cd/Mexico-Australia-September-9-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"14:23","Japan",4,"Turkey",2,7202,"Cegeka Arena (Neutral Site)","Allard Lindhout","","https://fbref.com/en/matches/df8aaf47/Japan-Turkiye-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"17:00","South Africa",1,"DR Congo",0,9140,"Orlando Stadium","Thulani Sibandze","","https://fbref.com/en/matches/808d27d7/South-Africa-Congo-DR-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"17:30","Saudi Arabia",0,"Korea Republic",1,NA,"St James' Park (Neutral Site)","Andy Madley","","https://fbref.com/en/matches/9c3529eb/Saudi-Arabia-Korea-Republic-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"19:00","Egypt",1,"Tunisia",3,NA,"30 June Air Defence Stadium","Ammar Ashkanani","","https://fbref.com/en/matches/5074b7ec/Egypt-Tunisia-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"19:00","Senegal",0,"Algeria",1,NA,"Stade Abdoulaye Wade","Dahane Beida","","https://fbref.com/en/matches/79dd29a1/Senegal-Algeria-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"19:45","Scotland",1,"England",3,49129,"Hampden Park","Davide Massa","","https://fbref.com/en/matches/1461ddd6/Scotland-England-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"20:00","Mexico",3,"Uzbekistan",3,33817,"Mercedes-Benz Stadium (Neutral Site)","Victor Rivas","","https://fbref.com/en/matches/16d1a4fe/Mexico-Uzbekistan-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-09-12,"21:00","Germany",2,"France",1,60486,"Signal Iduna Park","Anthony Taylor","","https://fbref.com/en/matches/1a3bf09a/Germany-France-September-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Thu",2023-10-12,"20:00","Algeria",5,"Cape Verde",1,NA,"Stade Mohamed-Hamlaoui","Mehrez Melki","","https://fbref.com/en/matches/c4d91304/Algeria-Cape-Verde-October-12-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-10-13,"18:00","New Zealand",1,"DR Congo",1,NA,"Estadio Enrique Roca de Murcia (Neutral Site)","Jason Barcelo","","https://fbref.com/en/matches/c29b6e54/New-Zealand-Congo-DR-October-13-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-10-13,"19:35","Japan",4,"Canada",1,37125,"Denka Big Swan Stadium","Alex King","","https://fbref.com/en/matches/a061b9e4/Japan-Canada-October-13-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-10-13,"19:45","England",1,"Australia",0,81116,"Wembley Stadium","Stéphanie Frappart","","https://fbref.com/en/matches/b1fbabe1/England-Australia-October-13-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Fri",2023-10-13,"20:00","Korea Republic",4,"Tunisia",0,59018,"Suwon World Cup Stadium","Amirul Izwan Yaacob","","https://fbref.com/en/matches/938b4f5f/Korea-Republic-Tunisia-October-13-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-10-14,"14:00","United States",1,"Germany",3,37743,"Pratt & Whitney Stadium at Rentschler Fi...","Fernando Guerrero","","https://fbref.com/en/matches/a392d272/United-States-Germany-October-14-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-10-14,"17:00","Ivory Coast",1,"Morocco",1,22135,"Stade Félix Houphouët-Boigny","Raphiou Ligali","","https://fbref.com/en/matches/2339884f/Cote-dIvoire-Morocco-October-14-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-10-14,"20:30","Mexico",2,"Ghana",0,60263,"Bank of America Stadium (Neutral Site)","Joe Dickerson","","https://fbref.com/en/matches/52b32b60/Mexico-Ghana-October-14-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Mon",2023-10-16,"20:00","Egypt",1,"Algeria",1,NA,"Hazza bin Zayed Stadium (Neutral Site)","Yahya Ali Al Mulla","","https://fbref.com/en/matches/92d18ba8/Egypt-Algeria-October-16-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-10-17,"19:00","Ivory Coast",1,"South Africa",1,21607,"Stade Félix Houphouët-Boigny","Benoit Bado","","https://fbref.com/en/matches/285b5440/Cote-dIvoire-South-Africa-October-17-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-10-17,"19:10","Japan",2,"Tunisia",0,26529,"NOEVIR Stadium Kobe","Wang Di","","https://fbref.com/en/matches/964dcc12/Japan-Tunisia-October-17-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-10-17,"19:30","United States",4,"Ghana",0,17500,"Geodis Park","Marco Antonio Ortíz","","https://fbref.com/en/matches/3ac52860/United-States-Ghana-October-17-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-10-17,"19:45","Australia",2,"New Zealand",0,5761,"Gtech Community Stadium (Neutral Site)","Stuart Attwell","","https://fbref.com/en/matches/ec367928/Australia-New-Zealand-October-17-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-10-17,"20:00","Mexico",2,"Germany",2,62284,"Lincoln Financial Field (Neutral Site)","Rubiel Vazquez","","https://fbref.com/en/matches/35c1c066/Mexico-Germany-October-17-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-10-17,"21:00","France",4,"Scotland",1,44000,"Decathlon Arena - Stade Pierre-Mauroy","Tobias Stieler","","https://fbref.com/en/matches/49c3cf63/France-Scotland-October-17-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-11-18,"20:45","Germany",2,"Turkey",3,72592,"Olympiastadion Berlin","Bartosz Frankowski","","https://fbref.com/en/matches/ed1f140d/Germany-Turkiye-November-18-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Tue",2023-11-21,"20:45","Austria",2,"Germany",0,46000,"Ernst-Happel-Stadion","Slavko Vinčič","","https://fbref.com/en/matches/755a7437/Austria-Germany-November-21-2023-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2023,NA,NA,"Sat",2023-12-16,"16:00","Mexico",NA,"Colombia",NA,NA,"United Airlines Field at the Los Angeles... (Neutral Site)","","","https://fbref.com/en/stathead/matchup/teams/b009a548/ab73cfe5/Mexico-vs-Colombia-History",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Thu",2024-03-21,"19:45","Portugal",5,"Sweden",2,27532,"Estádio Dom Afonso Henriques","","","https://fbref.com/en/matches/6495e74e/Portugal-Sweden-March-21-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Fri",2024-03-22,"18:00","Norway",1,"Czech Republic",2,11891,"Ullevaal Stadion","","","https://fbref.com/en/matches/45a6b777/Norway-Czechia-March-22-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Fri",2024-03-22,"20:30","Spain",0,"Colombia",1,43267,"London Stadium (Neutral Site)","","","https://fbref.com/en/matches/521f08e2/Spain-Colombia-March-22-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Fri",2024-03-22,"20:45","Netherlands",4,"Scotland",0,46223,"Johan Cruijff Arena","","","https://fbref.com/en/matches/d5f13317/Netherlands-Scotland-March-22-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-03-23,"19:00","England",0,"Brazil",1,83674,"Wembley Stadium connected by EE","","","https://fbref.com/en/matches/5eccc784/England-Brazil-March-23-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-03-23,"21:00","France",0,"Germany",2,NA,"Groupama Stadium","","","https://fbref.com/en/matches/f1e299ee/France-Germany-March-23-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-03-26,"19:45","England",2,"Belgium",2,80733,"Wembley Stadium connected by EE","","","https://fbref.com/en/matches/5cac400a/England-Belgium-March-26-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-03-26,"20:30","Ivory Coast",2,"Uruguay",1,NA,"Stade Bollaert-Delelis (Neutral Site)","","","https://fbref.com/en/matches/6ddfd148/Cote-dIvoire-Uruguay-March-26-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-03-26,"20:45","Germany",2,"Netherlands",1,48390,"Deutsche Bank Park","","","https://fbref.com/en/matches/176d9d40/Germany-Netherlands-March-26-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-03-26,"20:45","Austria",6,"Turkey",1,38500,"Ernst-Happel-Stadion","","","https://fbref.com/en/matches/21d76e8f/Austria-Turkiye-March-26-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-03-26,"21:30","Spain",3,"Brazil",3,NA,"Estadio Santiago Bernabéu","","","https://fbref.com/en/matches/f47f2579/Spain-Brazil-March-26-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Mon",2024-06-03,"19:45","England",3,"Bosnia and Herzegovina",0,50061,"St James' Park","","","https://fbref.com/en/matches/43e013da/England-Bosnia-and-Herzegovina-June-3-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Wed",2024-06-05,"19:00","Mexico",0,"Uruguay",4,57862,"Empower Field at Mile High (Neutral Site)","","","https://fbref.com/en/matches/4bf89490/Mexico-Uruguay-June-5-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Thu",2024-06-06,"20:45","Netherlands",4,"Canada",0,36060,"Stadion Feijenoord","","","https://fbref.com/en/matches/a9595ceb/Netherlands-Canada-June-6-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-06-08,"17:37","United States",1,"Colombia",5,55494,"Commanders Field","","","https://fbref.com/en/matches/dfe60a21/United-States-Colombia-June-8-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-06-08,"17:45","Portugal",1,"Croatia",2,NA,"Estádio Nacional","","","https://fbref.com/en/matches/f2d309b2/Portugal-Croatia-June-8-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-06-08,"18:00","Switzerland",1,"Austria",1,18731,"Kybunpark","","","https://fbref.com/en/matches/abc613a8/Switzerland-Austria-June-8-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-06-08,"19:30","Mexico",2,"Brazil",3,85249,"Kyle Field (Neutral Site)","","","https://fbref.com/en/matches/df95da27/Mexico-Brazil-June-8-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sun",2024-06-09,"18:00","Argentina",1,"Ecuador",0,51096,"Soldier Field (Neutral Site)","","","https://fbref.com/en/matches/967ddddb/Argentina-Ecuador-June-9-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sun",2024-06-09,"21:15","France",0,"Canada",0,40835,"Stade Matmut-Atlantique","","","https://fbref.com/en/matches/c2178e11/France-Canada-June-9-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Wed",2024-06-12,"19:07","United States",1,"Brazil",1,60016,"Camping World Stadium","","","https://fbref.com/en/matches/174bf942/United-States-Brazil-June-12-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sun",2024-06-16,"17:30","Panama",0,"Paraguay",1,NA,"Estadio Rommel Fernández Gutiérrez","","","https://fbref.com/en/matches/97f57797/Panama-Paraguay-June-16-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-09-07,"15:00","United States",1,"Canada",2,10523,"Children's Mercy Park","Keylor Herrera","","https://fbref.com/en/matches/03564011/United-States-Canada-September-7-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-09-07,"18:00","Mexico",3,"New Zealand",0,25271,"Rose Bowl (Neutral Site)","Joe Dickerson","","https://fbref.com/en/matches/6df3e937/Mexico-New-Zealand-September-7-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-09-10,"19:07","United States",1,"New Zealand",1,15711,"TQL Stadium","Selvin Brown","","https://fbref.com/en/matches/8875ce65/United-States-New-Zealand-September-10-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-09-10,"20:00","Mexico",0,"Canada",0,32623,"AT&T Stadium (Neutral Site)","Victor Rivas","","https://fbref.com/en/matches/c39e721b/Mexico-Canada-September-10-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Sat",2024-10-12,"20:00","United States",2,"Panama",0,20239,"Q2 Stadium","Katia García","","https://fbref.com/en/matches/dac3581c/United-States-Panama-October-12-2024-Friendlies-M",NA,NA
"International Friendlies (M)","M",NA,2024,NA,NA,"Tue",2024-10-15,"19:30","Canada",2,"Panama",1,23315,"BMO Field","Tori Penso","","https://fbref.com/en/matches/5663d52d/Canada-Panama-October-15-2024-Friendlies-M",NA,NA
